title,country,date,points,link,img
We Can Be Heroes,world,2021-01-01,691,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
The Midnight Sky,world,2021-01-01,579,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
Death to 2020,world,2021-01-01,548,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Dracula Untold,world,2021-01-01,354,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
Little Italy,world,2021-01-01,134,https://flixpatrol.com/title/little-italy/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vdssmzykqvikh7mkqwgovsalroo.jpg
How the Grinch Stole Christmas,world,2021-01-01,120,https://flixpatrol.com/title/how-the-grinch-stole-christmas-2000/,https://flixpatrol.com/runtime/cache/files/posters/u/w72/uowow8ztkgqqx6qknphg9aovfjw.jpg
The Adventures of Sharkboy and Lavagirl,world,2021-01-01,117,https://flixpatrol.com/title/the-adventures-of-sharkboy-and-lavagirl/,https://flixpatrol.com/runtime/cache/files/posters/a/w72/ai5o9rm0x4trfsutvvox9bpvmo0.jpg
Mr. Peabody & Sherman,world,2021-01-01,91,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
The Christmas Chronicles: Part Two,world,2021-01-01,88,https://flixpatrol.com/title/the-christmas-chronicles-part-two/,https://flixpatrol.com/runtime/cache/files/posters/8/w72/8qkwouezk77ey7oa1ul3e3xm4ky.jpg
El Testamento de la Abuela,world,2021-01-01,79,https://flixpatrol.com/title/el-testamento-de-la-abuela/,https://flixpatrol.com/runtime/cache/files/posters/h/w72/h1bzhyql3pgogagdk6zwrosyiop.jpg
We Can Be Heroes,world,2021-01-02,635,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Death to 2020,world,2021-01-02,582,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
The Midnight Sky,world,2021-01-02,553,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
Dracula Untold,world,2021-01-02,343,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
Little Italy,world,2021-01-02,133,https://flixpatrol.com/title/little-italy/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vdssmzykqvikh7mkqwgovsalroo.jpg
El Testamento de la Abuela,world,2021-01-02,88,https://flixpatrol.com/title/el-testamento-de-la-abuela/,https://flixpatrol.com/runtime/cache/files/posters/h/w72/h1bzhyql3pgogagdk6zwrosyiop.jpg
Justice League,world,2021-01-02,75,https://flixpatrol.com/title/justice-league/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/9rtrrgernl0jktu9imbwsmlmmzz.jpg
The Grinch,world,2021-01-02,75,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
Bumblebee,world,2021-01-02,70,https://flixpatrol.com/title/bumblebee/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sg6n4ei1f0kvqtts3fajdghngpa.jpg
Leap Year,world,2021-01-02,58,https://flixpatrol.com/title/leap-year/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/9uwkpkqvzapqpb85or4e0pghjft.jpg
We Can Be Heroes,world,2021-01-03,602,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Death to 2020,world,2021-01-03,540,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
The Midnight Sky,world,2021-01-03,481,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
Dracula Untold,world,2021-01-03,361,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
Full Out 2: You Got This!,world,2021-01-03,136,https://flixpatrol.com/title/full-out-2-you-got-this/,https://flixpatrol.com/runtime/cache/files/posters/y/w72/yew1golwauwhfvlelwcw29rhlg2.jpg
Little Italy,world,2021-01-03,127,https://flixpatrol.com/title/little-italy/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vdssmzykqvikh7mkqwgovsalroo.jpg
Mr. Peabody & Sherman,world,2021-01-03,79,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
2012,world,2021-01-03,73,https://flixpatrol.com/title/2012/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/5tiw9ntuxxy8ixsvskjqfdvzpyg.jpg
Bumblebee,world,2021-01-03,67,https://flixpatrol.com/title/bumblebee/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sg6n4ei1f0kvqtts3fajdghngpa.jpg
