title,country,date,points,link,img
Bridgerton,world,2021-01-01,765,https://flixpatrol.com/title/bridgerton/,https://flixpatrol.com/runtime/cache/files/posters/q/w72/qaewzkbkmxjb4zffbb1lcug6be8.jpg
Chilling Adventures of Sabrina,world,2021-01-01,584,https://flixpatrol.com/title/chilling-adventures-of-sabrina/,https://flixpatrol.com/runtime/cache/files/posters/y/w72/yxmpoho0cxp5o9gb7ifsciilqs4.jpg
The Queen's Gambit,world,2021-01-01,452,https://flixpatrol.com/title/the-queens-gambit/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/zu0htwkhnvbqdvsikb9s6hgvefk.jpg
Tiny Pretty Things,world,2021-01-01,309,https://flixpatrol.com/title/tiny-pretty-things/,https://flixpatrol.com/runtime/cache/files/posters/8/w72/8rkatgenfmsybsz8l4sl4boetgk.jpg
Vikings,world,2021-01-01,275,https://flixpatrol.com/title/vikings/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/94gp9uxndbypwclorjeurlad15z.jpg
Equinox,world,2021-01-01,215,https://flixpatrol.com/title/equinox-2020/,https://flixpatrol.com/runtime/cache/files/posters/b/w72/bnu3rz3nr844wznoyrck8w52dus.jpg
Paw Patrol,world,2021-01-01,139,https://flixpatrol.com/title/paw-patrol/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vn9be385ykpgumoyrod8z8yh6nn.jpg
The Crown,world,2021-01-01,137,https://flixpatrol.com/title/the-crown/,https://flixpatrol.com/runtime/cache/files/posters/j/w72/j3sqepnraith24ktkci9vp63p9a.jpg
Sweet Home,world,2021-01-01,132,https://flixpatrol.com/title/sweet-home-2020/,https://flixpatrol.com/runtime/cache/files/posters/6/w72/6emg81cplalulg8sppt2lxfqtfj.jpg
Grizzy & the Lemmings,world,2021-01-01,118,https://flixpatrol.com/title/grizzy-the-lemmings/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/fi0v8gixvwosrsrxoelypfxom9v.jpg
Bridgerton,world,2021-01-02,718,https://flixpatrol.com/title/bridgerton/,https://flixpatrol.com/runtime/cache/files/posters/q/w72/qaewzkbkmxjb4zffbb1lcug6be8.jpg
Chilling Adventures of Sabrina,world,2021-01-02,604,https://flixpatrol.com/title/chilling-adventures-of-sabrina/,https://flixpatrol.com/runtime/cache/files/posters/y/w72/yxmpoho0cxp5o9gb7ifsciilqs4.jpg
Cobra Kai,world,2021-01-02,597,https://flixpatrol.com/title/cobra-kai/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/etmmu2rkpzrbo9erytyhwatwajz.jpg
The Queen's Gambit,world,2021-01-02,372,https://flixpatrol.com/title/the-queens-gambit/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/zu0htwkhnvbqdvsikb9s6hgvefk.jpg
Vikings,world,2021-01-02,248,https://flixpatrol.com/title/vikings/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/94gp9uxndbypwclorjeurlad15z.jpg
Star Trek: Discovery,world,2021-01-02,248,https://flixpatrol.com/title/star-trek-discovery/,https://flixpatrol.com/runtime/cache/files/posters/a/w72/ajtseqg43514tewius9hihvbero.jpg
Tiny Pretty Things,world,2021-01-02,183,https://flixpatrol.com/title/tiny-pretty-things/,https://flixpatrol.com/runtime/cache/files/posters/8/w72/8rkatgenfmsybsz8l4sl4boetgk.jpg
Equinox,world,2021-01-02,183,https://flixpatrol.com/title/equinox-2020/,https://flixpatrol.com/runtime/cache/files/posters/b/w72/bnu3rz3nr844wznoyrck8w52dus.jpg
Sweet Home,world,2021-01-02,117,https://flixpatrol.com/title/sweet-home-2020/,https://flixpatrol.com/runtime/cache/files/posters/6/w72/6emg81cplalulg8sppt2lxfqtfj.jpg
The Crown,world,2021-01-02,91,https://flixpatrol.com/title/the-crown/,https://flixpatrol.com/runtime/cache/files/posters/j/w72/j3sqepnraith24ktkci9vp63p9a.jpg
Bridgerton,world,2021-01-03,712,https://flixpatrol.com/title/bridgerton/,https://flixpatrol.com/runtime/cache/files/posters/q/w72/qaewzkbkmxjb4zffbb1lcug6be8.jpg
Cobra Kai,world,2021-01-03,650,https://flixpatrol.com/title/cobra-kai/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/etmmu2rkpzrbo9erytyhwatwajz.jpg
Chilling Adventures of Sabrina,world,2021-01-03,584,https://flixpatrol.com/title/chilling-adventures-of-sabrina/,https://flixpatrol.com/runtime/cache/files/posters/y/w72/yxmpoho0cxp5o9gb7ifsciilqs4.jpg
The Queen's Gambit,world,2021-01-03,370,https://flixpatrol.com/title/the-queens-gambit/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/zu0htwkhnvbqdvsikb9s6hgvefk.jpg
Vikings,world,2021-01-03,257,https://flixpatrol.com/title/vikings/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/94gp9uxndbypwclorjeurlad15z.jpg
Tiny Pretty Things,world,2021-01-03,173,https://flixpatrol.com/title/tiny-pretty-things/,https://flixpatrol.com/runtime/cache/files/posters/8/w72/8rkatgenfmsybsz8l4sl4boetgk.jpg
Equinox,world,2021-01-03,152,https://flixpatrol.com/title/equinox-2020/,https://flixpatrol.com/runtime/cache/files/posters/b/w72/bnu3rz3nr844wznoyrck8w52dus.jpg
Star Trek: Discovery,world,2021-01-03,142,https://flixpatrol.com/title/star-trek-discovery/,https://flixpatrol.com/runtime/cache/files/posters/a/w72/ajtseqg43514tewius9hihvbero.jpg
Sweet Home,world,2021-01-03,109,https://flixpatrol.com/title/sweet-home-2020/,https://flixpatrol.com/runtime/cache/files/posters/6/w72/6emg81cplalulg8sppt2lxfqtfj.jpg
The Crown,world,2021-01-03,95,https://flixpatrol.com/title/the-crown/,https://flixpatrol.com/runtime/cache/files/posters/j/w72/j3sqepnraith24ktkci9vp63p9a.jpg
Bridgerton,world,2021-01-04,713,https://flixpatrol.com/title/bridgerton/,https://flixpatrol.com/runtime/cache/files/posters/q/w72/qaewzkbkmxjb4zffbb1lcug6be8.jpg
