title,country,points,countries,days,link
Squid Game,world,57980,90,104,https://flixpatrol.com/title/squid-game/
Money Heist,world,44382,91,364,https://flixpatrol.com/title/money-heist/
Lupin,world,42690,83,256,https://flixpatrol.com/title/lupin/
Sex/Life,world,34609,82,141,https://flixpatrol.com/title/sexlife/
Bridgerton,world,33973,82,146,https://flixpatrol.com/title/bridgerton/
New Amsterdam,world,33561,75,255,https://flixpatrol.com/title/new-amsterdam/
Lucifer,world,32230,80,212,https://flixpatrol.com/title/lucifer/
Who Killed Sara?,world,30363,79,88,https://flixpatrol.com/title/who-killed-sara/
Yo soy Betty la fea,world,29271,17,364,https://flixpatrol.com/title/yo-soy-betty-la-fea/
Maid,world,29008,88,90,https://flixpatrol.com/title/maid/
Ginny & Georgia,world,28496,78,112,https://flixpatrol.com/title/ginny-georgia/
The Good Doctor,world,27654,55,233,https://flixpatrol.com/title/the-good-doctor-2017/
You,world,23940,90,87,https://flixpatrol.com/title/you-2018/
"Pablo Escobar, The Drug Lord",world,22309,18,349,https://flixpatrol.com/title/pablo-escobar-the-drug-lord/
Vincenzo,world,20307,56,308,https://flixpatrol.com/title/vincenzo/
Paw Patrol,world,20019,53,364,https://flixpatrol.com/title/paw-patrol/
Sex Education,world,19667,83,98,https://flixpatrol.com/title/sex-education/
Riverdale,world,18915,60,226,https://flixpatrol.com/title/riverdale/
Pasión de gavilanes,world,17714,16,308,https://flixpatrol.com/title/pasion-de-gavilanes/
Behind Her Eyes,world,17409,80,73,https://flixpatrol.com/title/behind-her-eyes/
Arcane,world,16660,89,54,https://flixpatrol.com/title/arcane/
Friends,world,16539,41,359,https://flixpatrol.com/title/friends/
Shadow and Bone,world,16403,82,55,https://flixpatrol.com/title/shadow-and-bone/
Snowpiercer,world,15699,74,98,https://flixpatrol.com/title/snowpiercer-2020/
Sweet Tooth,world,15457,82,40,https://flixpatrol.com/title/sweet-tooth/
Hometown Cha-Cha-Cha,world,15210,52,124,https://flixpatrol.com/title/hometown-cha-cha-cha/
CoComelon,world,14981,34,364,https://flixpatrol.com/title/cocomelon/
Firefly Lane,world,14682,77,44,https://flixpatrol.com/title/firefly-lane/
Elite,world,14208,77,75,https://flixpatrol.com/title/elite/
Outer Banks,world,14109,72,46,https://flixpatrol.com/title/outer-banks/
The Witcher,world,14055,89,236,https://flixpatrol.com/title/the-witcher/
The Serpent,world,13846,75,104,https://flixpatrol.com/title/the-serpent/
Sexify,world,12865,78,50,https://flixpatrol.com/title/sexify/
Fate: The Winx Saga,world,12570,82,40,https://flixpatrol.com/title/fate-the-winx-saga/
The Blacklist,world,12054,57,333,https://flixpatrol.com/title/the-blacklist/
Clickbait,world,12010,80,43,https://flixpatrol.com/title/clickbait/
El inocente,world,11843,76,55,https://flixpatrol.com/title/el-inocente/
Too Hot to Handle,world,11584,74,67,https://flixpatrol.com/title/too-hot-to-handle/
Dynasty,world,11091,78,137,https://flixpatrol.com/title/dynasty-2017/
Never Have I Ever,world,11035,79,48,https://flixpatrol.com/title/never-have-i-ever/
Virgin River,world,10939,75,62,https://flixpatrol.com/title/virgin-river/
Jupiter's Legacy,world,10782,81,26,https://flixpatrol.com/title/jupiters-legacy/
Nuevo Rico Nuevo Pobre,world,10502,17,208,https://flixpatrol.com/title/nuevo-rico-nuevo-pobre/
The Queen of Flow,world,10485,28,172,https://flixpatrol.com/title/the-queen-of-flow/
Rick and Morty,world,10456,41,156,https://flixpatrol.com/title/rick-and-morty/
The Queen's Gambit,world,10317,76,198,https://flixpatrol.com/title/the-queens-gambit/
Hit & Run,world,10271,79,49,https://flixpatrol.com/title/hit-run-2021/
The King's Affection,world,10171,55,79,https://flixpatrol.com/title/the-kings-affection/
Hellbound,world,9931,90,34,https://flixpatrol.com/title/hellbound-2021/
My Name,world,9726,86,65,https://flixpatrol.com/title/my-name/
Narcos: Mexico,world,9134,81,47,https://flixpatrol.com/title/narcos-mexico/
The Irregulars,world,8959,82,35,https://flixpatrol.com/title/the-irregulars/
Vikings,world,8929,67,224,https://flixpatrol.com/title/vikings/
Lost in Space,world,8837,87,29,https://flixpatrol.com/title/lost-in-space-2018/
Cobra Kai,world,8830,77,59,https://flixpatrol.com/title/cobra-kai/
Good Girls,world,8542,72,71,https://flixpatrol.com/title/good-girls/
Jurassic World: Camp Cretaceous,world,8131,83,83,https://flixpatrol.com/title/jurassic-world-camp-cretaceous/
The Five Juanas,world,8110,72,59,https://flixpatrol.com/title/the-five-juanas/
100 Dias Para Enamorarnos,world,8071,17,125,https://flixpatrol.com/title/100-dias-para-enamorarnos/
The Snitch Cartel: Origins,world,7815,16,86,https://flixpatrol.com/title/the-snitch-cartel-origins/
The Bold Type,world,7715,57,180,https://flixpatrol.com/title/the-bold-type/
The Circle,world,7708,55,74,https://flixpatrol.com/title/the-circle-2020/
Locke & Key,world,7584,84,45,https://flixpatrol.com/title/locke-key/
Brooklyn Nine-Nine,world,7578,60,262,https://flixpatrol.com/title/brooklyn-nine-nine/
Ragnarok,world,7540,79,42,https://flixpatrol.com/title/ragnarok-2020/
Titans,world,7320,82,22,https://flixpatrol.com/title/titans/
Nevertheless,world,7235,44,105,https://flixpatrol.com/title/nevertheless/
Hospital Playlist,world,7105,16,227,https://flixpatrol.com/title/hospital-playlist/
The Cook of Castamar,world,7006,66,133,https://flixpatrol.com/title/the-cook-of-castamar/
The Cook of Castamar,world,7006,66,133,https://flixpatrol.com/title/the-cook-of-castamar/
Demon Slayer: Kimetsu no Yaiba,world,6866,63,259,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba/
The One,world,6824,71,36,https://flixpatrol.com/title/the-one-2021/
Emily in Paris,world,6735,90,25,https://flixpatrol.com/title/emily-in-paris/
Sky Rojo,world,6472,61,78,https://flixpatrol.com/title/sky-rojo/
Alice in Borderland,world,6458,70,62,https://flixpatrol.com/title/alice-in-borderland/
Crime Scene: The Vanishing at the Cecil Hotel,world,6240,79,21,https://flixpatrol.com/title/crime-scene-the-vanishing-at-the-cecil-hotel/
StartUp,world,5978,62,59,https://flixpatrol.com/title/startup/
Turning Point: 9/11 and the War on Terror,world,5915,70,25,https://flixpatrol.com/title/turning-point-911-and-the-war-on-terror/
Kastanjemanden,world,5834,56,88,https://flixpatrol.com/title/kastanjemanden/
Formula 1: Drive to Survive,world,5818,70,49,https://flixpatrol.com/title/formula-1-drive-to-survive/
Madre solo hay dos,world,5682,34,55,https://flixpatrol.com/title/madre-solo-hay-dos/
Chilling Adventures of Sabrina,world,5664,76,21,https://flixpatrol.com/title/chilling-adventures-of-sabrina/
