,id,reviewServiceType,reviewType,reviewContentClassType,reviewContent,createDate,reviewDisplayStatusType,repurchase,reviewScore,reviewRankingScore,writerMemberId,writerMemberIdNo,writerMemberNo,writerMemberProfileImageUrl,checkoutMerchantNo,checkoutMerchantId,channelId,channelServiceType,orderNo,productOrderNo,productNo,productName,largeCategorizeCategoryId,middleCategorizeCategoryId,smallCategorizeCategoryId,detailCategorizeCategoryId,productUrl,originProductNo,eventTitle,reviewEvaluationValueSeqs,writerMemberMaskedId,profileImageSourceType,reviewAttaches,repThumbnailAttach,repThumbnailTagNameDescription,merchantNo,merchantName,isMyReview,reviewTopics,parentReviewSeq,modifyDate,reviewInspectionPolicyReason,helpCount
0,3374058263,SELLBLOG,NORMAL,TEXT,직장에 들고 다닐 텀블러가 필요했는데 사이즈가 커서 용이하게 잘 사용할 것 같아요.,2022-02-23T09:14:54.108+0000,NORMAL,False,5,-71.96231,akzk****,,0,https://profile-phinf.pstatic.net/404/default.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000301, 1000307, 1000290]",ak****,DEFAULT,[],,{},,,False,,,,,
1,3373892525,SELLBLOG,NORMAL,PHOTO,너무 좋아요♡ 마음에 들어요,2022-02-23T05:59:17.819+0000,NORMAL,False,5,-71.85563,kiny****,,0,https://profile-phinf.pstatic.net/404/default.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000302, 1000308, 1000290]",kiny*****,DEFAULT,"[{'id': '2200463294', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-1af4e411-1077-49ed-b0ec-e9d7fb81ecd5.jpeg', 'attachSize': 3620536, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220223_62/1645595950575u1uhy_JPEG/review-attachment-1af4e411-1077-49ed-b0ec-e9d7fb81ecd5.jpeg', 'attachDirectoryName': '/20220223_62/1645595950575u1uhy_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220223_62/1645595950575u1uhy_JPEG/review-attachment-1af4e411-1077-49ed-b0ec-e9d7fb81ecd5.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}]","{'id': '2200463294', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-1af4e411-1077-49ed-b0ec-e9d7fb81ecd5.jpeg', 'attachSize': 3620536, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220223_62/1645595950575u1uhy_JPEG/review-attachment-1af4e411-1077-49ed-b0ec-e9d7fb81ecd5.jpeg', 'attachDirectoryName': '/20220223_62/1645595950575u1uhy_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220223_62/1645595950575u1uhy_JPEG/review-attachment-1af4e411-1077-49ed-b0ec-e9d7fb81ecd5.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}",{},,,False,,,,,
2,3373674954,SELLBLOG,NORMAL,TEXT,벤ㅌ사이즈라 좋고 심플한 디자인이 마음에 들어요,2022-02-23T00:55:52.084+0000,NORMAL,False,5,-71.99056,made****,,0,https://profile-phinf.pstatic.net/404/default.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000302, 1000308, 1000289]",made****,DEFAULT,[],,{},,,False,"[{'topicCode': 'design', 'topicCodeName': '디자인', 'patternStartNo': 26, 'patternEndNo': 67, 'startIdx': 10, 'endIdx': 25}]",,,,
3,3373654414,SELLBLOG,NORMAL,PHOTO,벤티 싸이즈라 더 좋아요,2022-02-23T00:19:57.848+0000,NORMAL,False,5,-71.87916,cys8****,,0,https://phinf.pstatic.net/contact/20200727_60/15958131905285I3fx_JPEG/image.jpg,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000302, 1000308, 1000290]",cys8*******,NAVER_PROFILE,"[{'id': '2200320424', 'attachWidth': 3024, 'attachHeight': 3024, 'attachName': 'review-attachment-9524ad09-e762-485f-bc37-c8b346e6e701.jpeg', 'attachSize': 2970545, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220223_49/1645575593875Lwrrx_JPEG/review-attachment-9524ad09-e762-485f-bc37-c8b346e6e701.jpeg', 'attachDirectoryName': '/20220223_49/1645575593875Lwrrx_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220223_49/1645575593875Lwrrx_JPEG/review-attachment-9524ad09-e762-485f-bc37-c8b346e6e701.jpeg', 'width': 3024, 'height': 3024, 'tagName': '', 'attachmentType': 'I'}]","{'id': '2200320424', 'attachWidth': 3024, 'attachHeight': 3024, 'attachName': 'review-attachment-9524ad09-e762-485f-bc37-c8b346e6e701.jpeg', 'attachSize': 2970545, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220223_49/1645575593875Lwrrx_JPEG/review-attachment-9524ad09-e762-485f-bc37-c8b346e6e701.jpeg', 'attachDirectoryName': '/20220223_49/1645575593875Lwrrx_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220223_49/1645575593875Lwrrx_JPEG/review-attachment-9524ad09-e762-485f-bc37-c8b346e6e701.jpeg', 'width': 3024, 'height': 3024, 'tagName': '', 'attachmentType': 'I'}",{},,,False,,,,,
4,3373628931,SELLBLOG,NORMAL,TEXT,보온 보냉 다 좋습니다!,2022-02-22T23:26:49.405+0000,NORMAL,False,5,-72.01997,noho****,,0,https://phinf.pstatic.net/contact/20210129_114/16118888643756vz9X_PNG/image.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000302, 1000307, 1000290]",noho***,NAVER_PROFILE,[],,{},,,False,"[{'topicCode': 'cooler', 'topicCodeName': '보냉', 'patternStartNo': 0, 'patternEndNo': 29, 'startIdx': 0, 'endIdx': 11}]",,,,
5,3373613219,SELLBLOG,NORMAL,PHOTO,배송빠르고 디자인 예뻐요 좋아요,2022-02-22T22:38:27.558+0000,NORMAL,False,5,-71.8606,ilov****,,0,https://profile-phinf.pstatic.net/404/default.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000301, 1000307, 1000289]",ilov******,DEFAULT,"[{'id': '2200299531', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-49743b61-f411-4913-812d-22b75b7b6163.jpeg', 'attachSize': 3385784, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220223_47/1645569498110rkO0e_JPEG/review-attachment-49743b61-f411-4913-812d-22b75b7b6163.jpeg', 'attachDirectoryName': '/20220223_47/1645569498110rkO0e_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220223_47/1645569498110rkO0e_JPEG/review-attachment-49743b61-f411-4913-812d-22b75b7b6163.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}]","{'id': '2200299531', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-49743b61-f411-4913-812d-22b75b7b6163.jpeg', 'attachSize': 3385784, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220223_47/1645569498110rkO0e_JPEG/review-attachment-49743b61-f411-4913-812d-22b75b7b6163.jpeg', 'attachDirectoryName': '/20220223_47/1645569498110rkO0e_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220223_47/1645569498110rkO0e_JPEG/review-attachment-49743b61-f411-4913-812d-22b75b7b6163.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}",{},,,False,"[{'topicCode': 'design', 'topicCodeName': '디자인', 'patternStartNo': 16, 'patternEndNo': 34, 'startIdx': 6, 'endIdx': 12}]",,,,
6,3373518167,SELLBLOG,NORMAL,PHOTO,고민하다 구입하였는데 마시는쪽이 빡빡했는데 몇번 반복하니 좀더편하네요~잘사용할께요~,2022-02-22T14:28:35.069+0000,NORMAL,False,5,-71.77447,chij****,,0,https://profile-phinf.pstatic.net/404/default.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000302, 1000307, 1000290]",chij***,DEFAULT,"[{'id': '2200245204', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-c6c89bc9-1036-4745-a37f-297d076a4c10.jpeg', 'attachSize': 2218281, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220222_37/1645540046443lbgei_JPEG/review-attachment-c6c89bc9-1036-4745-a37f-297d076a4c10.jpeg', 'attachDirectoryName': '/20220222_37/1645540046443lbgei_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220222_37/1645540046443lbgei_JPEG/review-attachment-c6c89bc9-1036-4745-a37f-297d076a4c10.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}]","{'id': '2200245204', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-c6c89bc9-1036-4745-a37f-297d076a4c10.jpeg', 'attachSize': 2218281, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220222_37/1645540046443lbgei_JPEG/review-attachment-c6c89bc9-1036-4745-a37f-297d076a4c10.jpeg', 'attachDirectoryName': '/20220222_37/1645540046443lbgei_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220222_37/1645540046443lbgei_JPEG/review-attachment-c6c89bc9-1036-4745-a37f-297d076a4c10.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}",{},,,False,,,,,
7,3373500556,SELLBLOG,NORMAL,PHOTO,아이가 원해서 구매해줬더니 와이프도 사고 싶데요 한개더 주문해야될거 같이요,2022-02-22T14:04:42.419+0000,NORMAL,False,5,-71.81712,mast****,,0,https://profile-phinf.pstatic.net/404/default.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000301, 1000307, 1000289]",mast*****,DEFAULT,"[{'id': '2200234001', 'attachWidth': 1080, 'attachHeight': 1440, 'attachName': 'review-attachment-491c4eed-36b3-423d-84ba-6364f5f9826a.jpeg', 'attachSize': 650559, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220222_182/1645538676859JjxzT_JPEG/review-attachment-491c4eed-36b3-423d-84ba-6364f5f9826a.jpeg', 'attachDirectoryName': '/20220222_182/1645538676859JjxzT_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220222_182/1645538676859JjxzT_JPEG/review-attachment-491c4eed-36b3-423d-84ba-6364f5f9826a.jpeg', 'width': 1080, 'height': 1440, 'tagName': '', 'attachmentType': 'I'}]","{'id': '2200234001', 'attachWidth': 1080, 'attachHeight': 1440, 'attachName': 'review-attachment-491c4eed-36b3-423d-84ba-6364f5f9826a.jpeg', 'attachSize': 650559, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220222_182/1645538676859JjxzT_JPEG/review-attachment-491c4eed-36b3-423d-84ba-6364f5f9826a.jpeg', 'attachDirectoryName': '/20220222_182/1645538676859JjxzT_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220222_182/1645538676859JjxzT_JPEG/review-attachment-491c4eed-36b3-423d-84ba-6364f5f9826a.jpeg', 'width': 1080, 'height': 1440, 'tagName': '', 'attachmentType': 'I'}",{},,,False,,,,,
8,3373486777,SELLBLOG,NORMAL,PHOTO,"매장에서 옛날에보고 이번에 취업하면서구매했어요
ㅅㅅ
이텀블러랑 행복한 직딩이가되어볼께요",2022-02-22T13:48:13.621+0000,NORMAL,False,5,-71.80825,afte****,,0,https://phinf.pstatic.net/contact/20190226_158/1551153861507I1wgB_JPEG/image.jpg,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000302, 1000307, 1000290]",afte***,NAVER_PROFILE,"[{'id': '2200225315', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-bdd17db3-6031-4742-88a9-89fa7ffa7e23.jpeg', 'attachSize': 3886015, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220222_152/1645537686351tA0i1_JPEG/review-attachment-bdd17db3-6031-4742-88a9-89fa7ffa7e23.jpeg', 'attachDirectoryName': '/20220222_152/1645537686351tA0i1_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220222_152/1645537686351tA0i1_JPEG/review-attachment-bdd17db3-6031-4742-88a9-89fa7ffa7e23.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}]","{'id': '2200225315', 'attachWidth': 3024, 'attachHeight': 4032, 'attachName': 'review-attachment-bdd17db3-6031-4742-88a9-89fa7ffa7e23.jpeg', 'attachSize': 3886015, 'reviewAttachmentType': 'I', 'attachPath': 'https://phinf.pstatic.net/checkout.phinf/20220222_152/1645537686351tA0i1_JPEG/review-attachment-bdd17db3-6031-4742-88a9-89fa7ffa7e23.jpeg', 'attachDirectoryName': '/20220222_152/1645537686351tA0i1_JPEG', 'attachDescription': '', 'sortOrder': 0, 'reviewTagName': '', 'attachUrl': 'https://phinf.pstatic.net/checkout.phinf/20220222_152/1645537686351tA0i1_JPEG/review-attachment-bdd17db3-6031-4742-88a9-89fa7ffa7e23.jpeg', 'width': 3024, 'height': 4032, 'tagName': '', 'attachmentType': 'I'}",{},,,False,,,,,
9,3373321558,SELLBLOG,NORMAL,TEXT,흠집 하나 없는 깨끗한 상품으로 보내주셔서 감사합니다,2022-02-22T10:58:08.076+0000,NORMAL,False,5,-71.99147,hyun****,,0,https://profile-phinf.pstatic.net/404/default.png,0,,101268185,STOREFARM,,,5855354962,[스타벅스] SS 콩코드 사이렌 화이트 텀블러 591ml,50000008,50000061,50000882,50004540,https://smartstore.naver.com/main/products/5855354962,5828563410,,"[1000302, 1000307, 1000290]",hyun*******,DEFAULT,[],,{},,,False,,,,,
